Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
1058	Todo	Skyline	Add more support for chromatogram types in Bruker data	guest	3	closed	
1057	Defect	Skyline	"Add a transition list reader column ""CNL Spectrum Filter"" to simplify working with Constant Neutral Loss scan data"	guest	3	closed	
1056	Defect	Skyline	"""Copy Data"" for IMS heatmap display in Full Scan view is broken"	guest	3	closed	
1055	Defect	Skyline	Alert user when importing ion mobility data when there are IM filter values available (explicit, imsdb, blib) but IM filtering is disabled	guest	3	closed	
1054	Defect	Skyline	"NIST .msp peptide descriptions with n and c terminal notation (e.g. ""… …Name: n[43]ALAVLALLSLSGLEAIQR/5"" or ""Name: AACDEFGHIKc[17]/3"") are being ignored"	guest	3	closed	
1053	Defect	Skyline	"Target tree allows for manual creation of nonsense molecules e.g. ""U-H2O"""	guest	3	closed	
1052	Defect	Skyline	AlphaPeptDeep wording suggestions	guest	4	closed	25.2
1051	Defect	Skyline	Too many LongWaitDlgs during AlphaPeptDeep library building	guest	3	closed	25.2
1050	Defect	Skyline	AlphaPeptDeep output files need to be written somewhere outside the Skyline.exe/Tools folder	guest	2	closed	25.2
1049	Todo	Skyline	Users need to be able to tell Skyline that they have GC EI data	guest	3	closed	
1048	Defect	Skyline	Retention Times - Peptide Comparison graph is not UI mode aware	guest	3	closed	
1047	Defect	Skyline	improve SkylineCmd's handling of unrecognized transition list column names	guest	3	closed	
1046	Todo	Skyline	command line needs the ability to remove named replicates from document	guest	3	closed	
1045	Todo	Skyline	Users would like settable colors for each molecule	guest	3	closed	
1044	Todo	Skyline	Add .sdf file support for spectral library creation	guest	3	closed	
1043	Defect	Skyline	Provide for manual adjustmen of IM integration as we do for RT	guest	3	closed	
1042	Todo	Skyline	Library Explorer should show iRT information when it is present in a BLIB file	guest	3	closed	24.2
1041	Defect	Skyline	MSGF+ Installation form does not copy text	guest	3	closed	24.2
1040	Todo	Skyline	Import DIA Peptide Search should suggest using a prespecified isolation scheme based on the data	guest	3	closed	24.2
1039	Defect	Skyline	Import DDA Peptide Search produces different replicate name sort order than Import DIA Peptide Search	guest	3	closed	24.2
1038	Todo	Skyline	Import DIA Peptide Search never suggests chromatogram extraction files	guest	2	closed	24.2
1037	Defect	Skyline	Documents with lots of mods can get very slow for Import > Transition List	guest	3	closed	24.2
1036	Todo	Skyline	Mass spec files contain metadata that could usefully be preserved as annotations on replicates in Skyline	guest	3	closed	
1035	Todo	Skyline	Add Mirror and Koina menu options to Full-Scan graph	guest	3	closed	24.2
1034	Todo	Skyline	Add mirror plot option to chromatogram graphs	guest	3	closed	24.2
1033	Defect	Skyline	Fix Normalize To > Heavy Peak Areas - Replicate plot to show rdotp line graph	guest	2	closed	24.2
1032	Todo	Skyline	Skyline needs at least one default report that just gives peak areas for all replicates	guest	3	closed	24.2
1031	Defect	Skyline	Molecule reports show up in Document Settings - Reports when in proteomics mode	guest	3	closed	24.2
1030	Defect	Skyline	Small molecule improvements are predicted RT	guest	3	closed	
1029	Todo	Skyline	Integrate Carafe into Peptide Settings - Library - Build	guest	2	closed	24.2
1028	Todo	Skyline	Integrate AlphaPeptDeep prediction into Peptide Settings - Library - Build	guest	2	closed	24.2
1027	Todo	Skyline	Skyline DDA Searches that use Percolator need to calculate all-files-q-values	guest	2	closed	24.2
1026	Defect	Skyline	Peak Areas - Relative Abundance includes decoys by default	guest	2	closed	24.2
1025	Defect	Skyline	Feature finding should provide information in terms of the expected peptides in a document - what's novel in the search result, what's missing	guest	3	closed	
1024	Todo	Skyline	"Support transition list ""Note"" import for all node levels (molecule, precursor, transition)"	guest	3	closed	
1023	Defect	Skyline	"ArgumentOutOfRangeException scrolling ""Ion Types"" context menu"	guest	2	closed	24.2
1022	Defect	Skyline	idFileName column values are not set in minimized libraries.	guest	3	closed	
1021	Defect	Skyline	Discourage training mProphet models when explicit peak boundaries are being used from libraries	guest	3	closed	23.2
1020	Defect	Skyline	Transition Full Scan Settings page should discourage user from using retention time filtering with PRM	guest	3	closed	23.2
1019	Defect	Skyline	Confusing behavior of ID lines on chromatograms when library has multiple charge states	guest	3	closed	23.2
1018	Defect	Skyline	Adducts should not attempt formula math when the molecule is described as mass only	guest	3	closed	
1017	Defect	Skyline	Menuitem enabling needs cleanup for Spectrum Match settings	guest	3	closed	23.2
1016	Todo	Skyline	"Use new ""Associate Proteins"" dialog in other places proteins are associated"	guest	3	closed	
1015	Defect	Skyline	Glycan idotp values incorrect until close and re-open document	guest	3	closed	23.2
